ADB_COUNTRY_CODE,ISO_CODE,COUNTRY_NAME,Geographic Regions,EU Members,Top 5 RES Energy Producers
AFG,AFG,Afghanistan,Middle East,Non-member,other
ALB,ALB,Albania,Europe,Non-member,other
ALG,DZA,Algeria,Africa,Non-member,other
AMS,ASM,American Samoa,Unclassified,Non-member,other
AND,AND,Andorra,Europe,Non-member,other
ANG,AGO,Angola,Africa,Non-member,other
AIA,AIA,Anguilla,Latin America & Caribbean,Non-member,other
ATA,ATA,Antarctica,Unclassified,Non-member,other
ANT,ATG,Antigua,Latin America & Caribbean,Non-member,other
ARG,ARG,Argentina,Latin America & Caribbean,Non-member,other
ARM,ARM,Armenia,North Asia,Non-member,other
ARU,ABW,Aruba,Latin America & Caribbean,Non-member,other
AUS,AUS,Australia,Asia Pacific,Non-member,other
AUST,AUT,Austria,Europe,EU Member,other
AZER,AZE,Azerbaijan,North Asia,Non-member,other
BAH,BHS,Bahamas,Latin America & Caribbean,Non-member,other
BA,BHR,Bahrain,Middle East,Non-member,other
BANG,BGD,Bangladesh,Asia Pacific,Non-member,other
BARB,BRB,Barbados,Latin America & Caribbean,Non-member,other
BEL,BLR,Belarus,Europe,Non-member,other
BELG,BEL,Belgium,Europe,EU Member,other
BELI,BLZ,Belize,Latin America & Caribbean,Non-member,other
BEN,BEN,Benin,Africa,Non-member,other
BER,BMU,Bermuda,Latin America & Caribbean,Non-member,other
BHU,BTN,Bhutan,Asia Pacific,Non-member,other
BOL,BOL,Bolivia,Latin America & Caribbean,Non-member,other
BOS,BIH,Bosnia,Europe,Non-member,other
BOT,BWA,Botswana,Africa,Non-member,other
BVT,BVT,Bouvet Island,Unclassified,Non-member,other
BRAZ,BRA,Brazil,Latin America & Caribbean,Non-member,Top 5 RES Energy Producer
IOT,IOT,British Indian Ocean Territory,Unclassified,Non-member,other
BVI,VGB,British Virgin Islands,Latin America & Caribbean,Non-member,other
BRU,BRN,Brunei,Asia Pacific,Non-member,other
BUL,BGR,Bulgaria,Europe,EU Member,other
BFAS,BFA,Burkina Faso,Africa,Non-member,other
BURU,BDI,Burundi,Africa,Non-member,other
CAM,KHM,Cambodia,Asia Pacific,Non-member,other
CAME,CMR,Cameroon,Africa,Non-member,other
CAN,CAN,Canada,Canada,Non-member,Top 5 RES Energy Producer
CVER,CPV,Cape Verde,Unclassified,Non-member,other
CAY,CYM,Cayman,Latin America & Caribbean,Non-member,other
CAR,CAF,Central African Republic,Africa,Non-member,other
CHAD,TCD,Chad,Africa,Non-member,other
CHI,CHL,Chile,Latin America & Caribbean,Non-member,other
CHIN,CHN,China,Asia Pacific,Non-member,Top 5 RES Energy Producer
CXR,CXR,Christmas Island,Unclassified,Non-member,other
CCK,CCK,Cocos (Keeling) Islands,Unclassified,Non-member,other
COL,COL,Colombia,Latin America & Caribbean,Non-member,other
COMO,COM,Comoros,Africa,Non-member,other
COD,COD,Congo (Democratic Republic),Africa,Non-member,other
COG,COG,Congo (Republic of Congo),Africa,Non-member,other
COK,COK,Cook Islands,Unclassified,Non-member,other
CR,CRI,Costa Rica,Latin America & Caribbean,Non-member,other
CDI,CIV,Cote d'Ivoire,Africa,Non-member,other
CRO,HRV,Croatia,Europe,EU Member,other
CUBA,CUB,Cuba,Latin America & Caribbean,Non-member,other
CY,CYP,Cyprus,Europe,EU Member,other
CZ,CZE,Czech Republic,Europe,EU Member,other
DEN,DNK,Denmark,Europe,EU Member,other
DJI,DJI,Djibouti,Africa,Non-member,other
DMA,DMA,Dominica,Unclassified,Non-member,other
DR,DOM,Dominican Republic,Latin America & Caribbean,Non-member,other
TMP,TMP,East Timor,Asia Pacific,Non-member,other
